id,sum,term,payment,guarantees,reason,credits,other_credits,credit_report,marital_status,age,employment,qualification,immigrant,residence_since,accommodation,estate,savings,dependents,phone,status,bankruptcy
402,8648,24,2,none,business,2,bank,delay in paying off in the past,male single,27,less-than 1 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,yes,no checking account,1
403,802,14,4,none,new car,2,none,delay in paying off in the past,male single,27,1 to 4 y.,unskilled resident,yes,2,own,car or other,less-than 100 cu,1,none,no checking account,0
404,2899,18,4,none,new car,1,none,delay in paying off in the past,male single,43,7+ y.,skilled employee,yes,4,own,car or other,unknown or no savings account,2,none,0 to 200 cu,0
405,2039,24,1,none,television or radio,1,none,existing credits paid back duly till now,male married or widowed,22,less-than 1 y.,skilled employee,yes,1,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,0 to 200 cu,1
406,2197,24,4,none,used car,2,none,critical account or other credits existing(not at this bank),male single,43,4 to 7 y.,skilled employee,yes,4,own,car or other,unknown or no savings account,2,yes,no checking account,0
407,1053,15,4,none,television or radio,1,none,existing credits paid back duly till now,male married or widowed,27,less-than 1 y.,skilled employee,no,2,own,real estate,less-than 100 cu,1,none,less-than 0 cu,0
408,3235,24,3,none,television or radio,1,none,existing credits paid back duly till now,male divorced or separated,26,7+ y.,management or self-employed or highly qualified employee,yes,2,own,car or other,500 to 1000 cu,1,yes,no checking account,0
409,939,12,4,none,new car,3,none,critical account or other credits existing(not at this bank),male married or widowed,28,4 to 7 y.,skilled employee,yes,2,own,real estate,500 to 1000 cu,1,yes,greater-than 200 cu or salary assignments for at least 1 year,1
410,1967,24,4,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,20,7+ y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,yes,0 to 200 cu,0
411,7253,33,3,none,used car,2,none,critical account or other credits existing(not at this bank),male single,35,4 to 7 y.,management or self-employed or highly qualified employee,yes,2,own,car or other,less-than 100 cu,1,yes,no checking account,0
412,2292,12,4,none,business,2,stores,critical account or other credits existing(not at this bank),male single,42,unemployed,management or self-employed or highly qualified employee,yes,2,own,car or other,less-than 100 cu,1,yes,no checking account,1
413,1597,10,3,none,new car,1,none,existing credits paid back duly till now,male single,40,1 to 4 y.,unskilled resident,no,2,rent,unknown or no property,500 to 1000 cu,2,none,no checking account,0
414,1381,24,4,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,35,1 to 4 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,unknown or no savings account,1,none,less-than 0 cu,1
415,5842,36,2,none,used car,2,none,critical account or other credits existing(not at this bank),male single,35,7+ y.,skilled employee,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,2,yes,no checking account,0
416,2579,12,4,none,new car,1,none,existing credits paid back duly till now,male single,33,less-than 1 y.,unskilled resident,yes,1,own,real estate,less-than 100 cu,2,none,less-than 0 cu,1
417,8471,18,1,none,education,2,none,delay in paying off in the past,female divorced or separated or married,23,1 to 4 y.,skilled employee,yes,2,rent,car or other,unknown or no savings account,1,yes,less-than 0 cu,0
418,2782,21,1,none,new car,1,bank,existing credits paid back duly till now,female divorced or separated or married,31,4 to 7 y.,management or self-employed or highly qualified employee,yes,2,own,car or other,500 to 1000 cu,1,none,no checking account,0
419,1042,18,4,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,33,1 to 4 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,unknown or no savings account,1,none,0 to 200 cu,1
420,3186,15,2,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,20,4 to 7 y.,skilled employee,yes,3,rent,car or other,greater-than 1000 cu,1,none,no checking account,0
421,2028,12,4,none,used car,1,none,existing credits paid back duly till now,male single,30,1 to 4 y.,skilled employee,yes,2,own,car or other,unknown or no savings account,1,none,0 to 200 cu,0
422,958,12,2,none,new car,2,none,critical account or other credits existing(not at this bank),male single,47,4 to 7 y.,unskilled resident,yes,3,own,real estate,less-than 100 cu,2,none,0 to 200 cu,0
423,1591,21,4,none,furniture or equipment,2,none,delay in paying off in the past,male single,34,4 to 7 y.,management or self-employed or highly qualified employee,yes,3,own,real estate,100 to 500 cu,1,none,no checking account,0
424,2762,12,1,none,furniture or equipment,1,bank,existing credits paid back duly till now,female divorced or separated or married,25,7+ y.,skilled employee,yes,2,own,building society savings agreement or life insurance,unknown or no savings account,1,yes,0 to 200 cu,1
425,2779,18,1,none,used car,1,none,existing credits paid back duly till now,male married or widowed,21,1 to 4 y.,skilled employee,yes,3,rent,car or other,less-than 100 cu,1,yes,0 to 200 cu,0
426,2743,28,4,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,29,7+ y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,no checking account,0
427,1149,18,4,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,46,1 to 4 y.,skilled employee,yes,3,own,real estate,greater-than 1000 cu,1,none,no checking account,0
428,1313,9,1,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,20,7+ y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,none,no checking account,0
429,1190,18,2,none,repairs,3,none,critical account or other credits existing(not at this bank),female divorced or separated or married,55,unemployed,unemployed or unskilled non-resident,yes,4,for free,unknown or no property,less-than 100 cu,2,none,less-than 0 cu,1
430,3448,5,1,none,business,1,none,existing credits paid back duly till now,male single,74,4 to 7 y.,unskilled resident,yes,4,own,real estate,less-than 100 cu,1,none,no checking account,0
431,11328,24,2,co-applicant,other,2,bank,existing credits paid back duly till now,male single,29,1 to 4 y.,management or self-employed or highly qualified employee,yes,3,own,car or other,less-than 100 cu,1,yes,0 to 200 cu,1
432,1872,6,4,none,furniture or equipment,3,none,critical account or other credits existing(not at this bank),male single,36,unemployed,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,less-than 100 cu,1,yes,less-than 0 cu,0
433,2058,24,4,none,repairs,2,none,critical account or other credits existing(not at this bank),male divorced or separated,33,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,yes,no checking account,0
434,2136,9,3,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,25,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,none,less-than 0 cu,0
435,1484,12,2,none,television or radio,1,none,existing credits paid back duly till now,male married or widowed,25,1 to 4 y.,skilled employee,yes,1,own,real estate,unknown or no savings account,1,yes,0 to 200 cu,1
436,660,6,2,none,repairs,1,none,existing credits paid back duly till now,male married or widowed,23,4 to 7 y.,unskilled resident,yes,4,rent,real estate,500 to 1000 cu,1,none,no checking account,0
437,1287,24,4,none,new car,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,37,7+ y.,skilled employee,yes,4,own,real estate,greater-than 1000 cu,1,yes,no checking account,0
438,3394,42,4,co-applicant,repairs,2,none,critical account or other credits existing(not at this bank),male single,65,unemployed,unemployed or unskilled non-resident,yes,4,own,car or other,less-than 100 cu,1,none,less-than 0 cu,0
439,609,12,4,none,business,1,none,all credits at this bank paid back duly,female divorced or separated or married,26,less-than 1 y.,unemployed or unskilled non-resident,yes,1,own,real estate,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,1
440,1884,12,4,none,new car,1,none,existing credits paid back duly till now,male single,39,7+ y.,management or self-employed or highly qualified employee,yes,4,own,car or other,less-than 100 cu,1,yes,no checking account,0
441,1620,12,2,co-applicant,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,30,1 to 4 y.,skilled employee,yes,3,own,building society savings agreement or life insurance,less-than 100 cu,1,none,less-than 0 cu,0
442,2629,20,2,none,other,2,bank,delay in paying off in the past,male single,29,1 to 4 y.,skilled employee,yes,3,own,car or other,less-than 100 cu,1,yes,0 to 200 cu,0
443,719,12,4,none,education,1,bank,existing credits paid back duly till now,male single,41,7+ y.,unskilled resident,yes,4,own,car or other,less-than 100 cu,2,none,no checking account,1
444,5096,48,2,none,furniture or equipment,1,none,critical account or other credits existing(not at this bank),female divorced or separated or married,30,1 to 4 y.,management or self-employed or highly qualified employee,yes,3,own,car or other,less-than 100 cu,1,yes,0 to 200 cu,1
445,1244,9,4,none,education,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,41,7+ y.,unskilled resident,yes,4,rent,building society savings agreement or life insurance,unknown or no savings account,1,none,no checking account,0
446,1842,36,4,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,34,less-than 1 y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,yes,less-than 0 cu,1
447,2576,7,2,guarantor,television or radio,1,none,existing credits paid back duly till now,male single,35,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,none,0 to 200 cu,0
448,1424,12,3,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,55,7+ y.,management or self-employed or highly qualified employee,yes,4,own,real estate,unknown or no savings account,1,yes,greater-than 200 cu or salary assignments for at least 1 year,0
449,1512,15,3,none,repairs,2,stores,delay in paying off in the past,male married or widowed,61,1 to 4 y.,skilled employee,yes,3,own,building society savings agreement or life insurance,greater-than 1000 cu,1,none,0 to 200 cu,1
450,11054,36,4,none,used car,1,none,critical account or other credits existing(not at this bank),male single,30,1 to 4 y.,management or self-employed or highly qualified employee,yes,2,own,car or other,unknown or no savings account,1,yes,no checking account,0
451,518,6,3,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,29,1 to 4 y.,skilled employee,yes,1,own,real estate,less-than 100 cu,1,none,no checking account,0
452,2759,12,2,none,furniture or equipment,2,none,no credits or all paid,male single,34,7+ y.,skilled employee,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,none,no checking account,0
453,2670,24,4,none,used car,1,none,existing credits paid back duly till now,male single,35,7+ y.,management or self-employed or highly qualified employee,yes,4,own,car or other,less-than 100 cu,1,yes,no checking account,0
454,4817,24,2,co-applicant,new car,1,none,existing credits paid back duly till now,male single,31,4 to 7 y.,skilled employee,yes,3,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,less-than 0 cu,1
455,2679,24,4,none,used car,1,none,existing credits paid back duly till now,female divorced or separated or married,29,less-than 1 y.,management or self-employed or highly qualified employee,yes,1,own,unknown or no property,less-than 100 cu,1,yes,no checking account,0
456,3905,11,2,none,new car,2,none,critical account or other credits existing(not at this bank),male single,36,1 to 4 y.,skilled employee,yes,2,rent,real estate,less-than 100 cu,2,none,less-than 0 cu,0
457,3386,12,3,none,used car,1,none,existing credits paid back duly till now,male single,35,7+ y.,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,1,yes,less-than 0 cu,1
458,343,6,4,none,household appliances,1,none,existing credits paid back duly till now,female divorced or separated or married,27,less-than 1 y.,skilled employee,yes,1,own,real estate,less-than 100 cu,1,none,less-than 0 cu,0
459,4594,18,3,none,television or radio,1,none,existing credits paid back duly till now,male single,32,less-than 1 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,yes,no checking account,0
460,3620,36,1,guarantor,furniture or equipment,1,none,existing credits paid back duly till now,male single,37,1 to 4 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,2,none,less-than 0 cu,0
461,1721,15,2,none,new car,1,none,existing credits paid back duly till now,male single,36,less-than 1 y.,skilled employee,yes,3,own,real estate,less-than 100 cu,1,none,less-than 0 cu,0
462,3017,12,3,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,34,less-than 1 y.,management or self-employed or highly qualified employee,yes,1,rent,real estate,less-than 100 cu,1,none,0 to 200 cu,0
463,754,12,4,none,requalification,2,none,existing credits paid back duly till now,male single,38,7+ y.,skilled employee,yes,4,own,building society savings agreement or life insurance,unknown or no savings account,1,none,0 to 200 cu,0
464,1950,18,4,none,business,2,stores,existing credits paid back duly till now,male single,34,4 to 7 y.,skilled employee,yes,1,own,car or other,less-than 100 cu,1,yes,no checking account,0
465,2924,24,3,guarantor,used car,1,bank,existing credits paid back duly till now,male single,63,1 to 4 y.,skilled employee,yes,4,own,unknown or no property,less-than 100 cu,2,yes,less-than 0 cu,0
466,1659,24,4,none,television or radio,1,none,delay in paying off in the past,female divorced or separated or married,29,less-than 1 y.,unskilled resident,yes,2,rent,car or other,less-than 100 cu,1,yes,less-than 0 cu,1
467,7238,48,3,none,television or radio,2,bank,delay in paying off in the past,male single,32,7+ y.,skilled employee,yes,3,own,car or other,unknown or no savings account,2,none,no checking account,0
468,2764,33,2,none,business,2,none,delay in paying off in the past,female divorced or separated or married,26,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,yes,no checking account,0
469,4679,24,3,none,used car,2,none,delay in paying off in the past,male single,35,4 to 7 y.,unskilled resident,yes,3,own,car or other,less-than 100 cu,1,yes,no checking account,0
470,3092,24,3,none,television or radio,1,none,existing credits paid back duly till now,male married or widowed,22,less-than 1 y.,skilled employee,yes,2,rent,car or other,100 to 500 cu,1,yes,0 to 200 cu,1
471,448,6,4,none,education,1,none,existing credits paid back duly till now,female divorced or separated or married,23,less-than 1 y.,skilled employee,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,none,less-than 0 cu,1
472,654,9,4,none,new car,1,none,existing credits paid back duly till now,male single,28,1 to 4 y.,unskilled resident,yes,3,own,car or other,less-than 100 cu,1,none,less-than 0 cu,1
473,1238,6,4,none,requalification,1,none,existing credits paid back duly till now,male single,36,unemployed,management or self-employed or highly qualified employee,yes,4,own,building society savings agreement or life insurance,unknown or no savings account,2,yes,no checking account,0
474,1245,18,4,none,television or radio,1,none,critical account or other credits existing(not at this bank),male married or widowed,33,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,0 to 200 cu,1
475,3114,18,1,none,furniture or equipment,1,none,no credits or all paid,female divorced or separated or married,26,less-than 1 y.,skilled employee,yes,4,rent,building society savings agreement or life insurance,less-than 100 cu,1,none,less-than 0 cu,1
476,2569,39,4,none,used car,1,none,existing credits paid back duly till now,male single,24,1 to 4 y.,skilled employee,yes,4,own,car or other,500 to 1000 cu,1,none,no checking account,0
477,5152,24,4,none,television or radio,1,bank,existing credits paid back duly till now,male single,25,4 to 7 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
478,1037,12,3,none,business,1,none,existing credits paid back duly till now,male single,39,4 to 7 y.,unskilled resident,yes,4,own,real estate,100 to 500 cu,1,none,0 to 200 cu,0
479,1478,15,4,none,furniture or equipment,2,none,critical account or other credits existing(not at this bank),male single,44,7+ y.,skilled employee,yes,4,own,car or other,less-than 100 cu,2,yes,less-than 0 cu,0
480,3573,12,1,none,television or radio,1,none,critical account or other credits existing(not at this bank),female divorced or separated or married,23,1 to 4 y.,unskilled resident,yes,1,own,real estate,less-than 100 cu,1,none,0 to 200 cu,0
481,1201,24,4,none,new car,1,none,existing credits paid back duly till now,male single,26,less-than 1 y.,skilled employee,yes,1,own,building society savings agreement or life insurance,less-than 100 cu,1,none,0 to 200 cu,0
482,3622,30,4,none,furniture or equipment,2,none,existing credits paid back duly till now,female divorced or separated or married,57,7+ y.,skilled employee,yes,4,rent,building society savings agreement or life insurance,greater-than 1000 cu,1,yes,less-than 0 cu,0
483,960,15,3,none,furniture or equipment,2,none,delay in paying off in the past,female divorced or separated or married,30,4 to 7 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,greater-than 1000 cu,1,none,no checking account,0
484,1163,12,4,none,new car,1,none,critical account or other credits existing(not at this bank),male single,44,1 to 4 y.,skilled employee,yes,4,own,real estate,500 to 1000 cu,1,yes,no checking account,0
485,1209,6,4,none,new car,1,none,delay in paying off in the past,male single,47,unemployed,management or self-employed or highly qualified employee,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,0 to 200 cu,1
486,3077,12,2,none,television or radio,1,none,existing credits paid back duly till now,male single,52,1 to 4 y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,yes,no checking account,0
487,3757,24,4,co-applicant,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,62,7+ y.,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,1,yes,no checking account,0
488,1418,10,3,none,new car,1,none,existing credits paid back duly till now,male single,35,1 to 4 y.,unskilled resident,no,2,rent,real estate,100 to 500 cu,1,none,no checking account,0
489,3518,6,2,guarantor,new car,1,none,existing credits paid back duly till now,male single,26,1 to 4 y.,skilled employee,yes,3,rent,building society savings agreement or life insurance,less-than 100 cu,1,none,no checking account,0
490,1934,12,2,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,26,7+ y.,skilled employee,yes,2,own,unknown or no property,less-than 100 cu,1,none,no checking account,0
491,8318,27,2,none,business,2,none,no credits or all paid,female divorced or separated or married,42,7+ y.,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,less-than 100 cu,1,yes,0 to 200 cu,1
492,1237,6,1,none,television or radio,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,27,1 to 4 y.,skilled employee,yes,1,own,building society savings agreement or life insurance,100 to 500 cu,1,none,no checking account,0
493,368,6,4,none,television or radio,1,none,existing credits paid back duly till now,male single,38,7+ y.,skilled employee,yes,4,own,building society savings agreement or life insurance,unknown or no savings account,1,none,0 to 200 cu,0
494,2122,12,3,none,new car,2,none,critical account or other credits existing(not at this bank),male single,39,1 to 4 y.,unskilled resident,no,2,rent,real estate,less-than 100 cu,2,none,less-than 0 cu,0
495,2996,24,2,none,furniture or equipment,1,none,existing credits paid back duly till now,male married or widowed,20,1 to 4 y.,skilled employee,yes,4,own,car or other,unknown or no savings account,1,none,less-than 0 cu,1
496,9034,36,4,co-applicant,furniture or equipment,1,none,existing credits paid back duly till now,male single,29,less-than 1 y.,management or self-employed or highly qualified employee,yes,1,rent,unknown or no property,100 to 500 cu,1,yes,0 to 200 cu,1
497,1585,24,4,none,furniture or equipment,2,none,critical account or other credits existing(not at this bank),male single,40,4 to 7 y.,skilled employee,yes,3,own,building society savings agreement or life insurance,less-than 100 cu,1,none,no checking account,0
498,1301,18,4,guarantor,television or radio,1,none,existing credits paid back duly till now,male married or widowed,32,7+ y.,unskilled resident,yes,2,own,real estate,less-than 100 cu,1,none,0 to 200 cu,0
499,1323,6,2,none,new car,2,none,critical account or other credits existing(not at this bank),male divorced or separated,28,7+ y.,skilled employee,yes,4,own,car or other,100 to 500 cu,2,yes,greater-than 200 cu or salary assignments for at least 1 year,0
500,3123,24,4,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,27,less-than 1 y.,skilled employee,yes,1,own,building society savings agreement or life insurance,less-than 100 cu,1,none,less-than 0 cu,1
501,5493,36,2,none,used car,1,none,existing credits paid back duly till now,male single,42,7+ y.,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,2,none,less-than 0 cu,0
502,1126,9,2,none,television or radio,1,none,existing credits paid back duly till now,male divorced or separated,49,7+ y.,skilled employee,yes,4,own,real estate,100 to 500 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
503,1216,24,4,none,television or radio,2,bank,critical account or other credits existing(not at this bank),male single,38,less-than 1 y.,skilled employee,yes,4,own,unknown or no property,100 to 500 cu,2,none,0 to 200 cu,1
504,1207,24,4,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,24,less-than 1 y.,skilled employee,yes,4,rent,building society savings agreement or life insurance,less-than 100 cu,1,none,less-than 0 cu,1
505,1309,10,4,guarantor,new car,1,none,existing credits paid back duly till now,male single,27,1 to 4 y.,unskilled resident,yes,4,own,building society savings agreement or life insurance,unknown or no savings account,1,none,no checking account,1
506,2360,15,2,none,used car,1,none,critical account or other credits existing(not at this bank),male single,36,1 to 4 y.,skilled employee,yes,2,own,car or other,500 to 1000 cu,1,yes,greater-than 200 cu or salary assignments for at least 1 year,0
507,6850,15,1,none,new car,1,none,all credits at this bank paid back duly,male single,34,unemployed,management or self-employed or highly qualified employee,yes,2,own,building society savings agreement or life insurance,100 to 500 cu,2,yes,0 to 200 cu,1
508,1413,24,4,none,television or radio,1,none,existing credits paid back duly till now,male married or widowed,28,1 to 4 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,1,none,no checking account,0
509,8588,39,4,none,used car,1,none,existing credits paid back duly till now,male single,45,7+ y.,management or self-employed or highly qualified employee,yes,2,own,car or other,100 to 500 cu,1,yes,no checking account,0
510,759,12,4,none,new car,1,none,existing credits paid back duly till now,male single,26,4 to 7 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,none,less-than 0 cu,1
511,4686,36,2,none,used car,1,none,existing credits paid back duly till now,male single,32,1 to 4 y.,management or self-employed or highly qualified employee,yes,2,for free,unknown or no property,less-than 100 cu,1,yes,no checking account,0
512,2687,15,2,none,business,1,none,existing credits paid back duly till now,male single,26,4 to 7 y.,skilled employee,yes,4,rent,building society savings agreement or life insurance,less-than 100 cu,1,yes,greater-than 200 cu or salary assignments for at least 1 year,0
513,585,12,4,co-applicant,television or radio,2,none,delay in paying off in the past,male married or widowed,20,1 to 4 y.,skilled employee,yes,4,rent,real estate,less-than 100 cu,1,none,0 to 200 cu,0
514,2255,24,4,none,new car,1,none,existing credits paid back duly till now,male single,54,less-than 1 y.,skilled employee,yes,1,own,building society savings agreement or life insurance,unknown or no savings account,1,none,no checking account,0
515,609,6,4,none,new car,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,37,4 to 7 y.,skilled employee,no,3,own,building society savings agreement or life insurance,less-than 100 cu,1,none,less-than 0 cu,0
516,1361,6,2,none,new car,1,none,critical account or other credits existing(not at this bank),male single,40,less-than 1 y.,unskilled resident,no,4,own,real estate,less-than 100 cu,2,none,less-than 0 cu,0
517,7127,36,2,none,furniture or equipment,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,23,less-than 1 y.,skilled employee,yes,4,rent,building society savings agreement or life insurance,less-than 100 cu,1,yes,no checking account,1
518,1203,6,3,none,new car,1,none,existing credits paid back duly till now,male single,43,7+ y.,skilled employee,yes,2,own,building society savings agreement or life insurance,100 to 500 cu,1,yes,less-than 0 cu,0
519,700,6,4,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,36,7+ y.,skilled employee,yes,4,for free,unknown or no property,unknown or no savings account,1,none,no checking account,0
520,5507,24,3,none,repairs,2,none,critical account or other credits existing(not at this bank),male single,44,7+ y.,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,1,none,no checking account,0
521,3190,18,2,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,24,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,none,less-than 0 cu,1
522,7119,48,3,none,furniture or equipment,2,none,no credits or all paid,male single,53,1 to 4 y.,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,2,none,less-than 0 cu,1
523,3488,24,3,none,used car,1,none,existing credits paid back duly till now,female divorced or separated or married,23,4 to 7 y.,skilled employee,yes,4,own,car or other,100 to 500 cu,1,none,no checking account,0
524,1113,18,4,guarantor,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,26,1 to 4 y.,unskilled resident,yes,4,own,real estate,less-than 100 cu,2,none,0 to 200 cu,0
525,7966,26,2,none,used car,2,none,existing credits paid back duly till now,male single,30,less-than 1 y.,skilled employee,yes,3,own,car or other,less-than 100 cu,1,none,0 to 200 cu,0
526,1532,15,4,none,education,1,none,critical account or other credits existing(not at this bank),female divorced or separated or married,31,1 to 4 y.,skilled employee,yes,3,own,car or other,100 to 500 cu,1,none,no checking account,0
527,1503,4,2,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,42,4 to 7 y.,unskilled resident,yes,1,own,real estate,less-than 100 cu,2,none,no checking account,0
528,2302,36,4,none,television or radio,1,none,existing credits paid back duly till now,male divorced or separated,31,1 to 4 y.,skilled employee,yes,4,rent,car or other,less-than 100 cu,1,none,less-than 0 cu,1
529,662,6,3,none,new car,1,none,existing credits paid back duly till now,male single,41,less-than 1 y.,unskilled resident,yes,4,own,real estate,less-than 100 cu,2,yes,less-than 0 cu,0
530,2273,36,3,none,education,2,none,existing credits paid back duly till now,male single,32,4 to 7 y.,skilled employee,yes,1,own,car or other,less-than 100 cu,2,none,0 to 200 cu,0
531,2631,15,2,none,new car,2,none,existing credits paid back duly till now,female divorced or separated or married,28,1 to 4 y.,skilled employee,yes,4,rent,car or other,100 to 500 cu,1,yes,0 to 200 cu,1
532,1503,12,4,none,used car,1,none,delay in paying off in the past,male married or widowed,41,1 to 4 y.,skilled employee,yes,4,rent,real estate,less-than 100 cu,1,none,no checking account,0
533,1311,24,4,none,television or radio,1,none,existing credits paid back duly till now,male married or widowed,26,4 to 7 y.,skilled employee,yes,3,own,building society savings agreement or life insurance,100 to 500 cu,1,yes,no checking account,0
534,3105,24,4,none,television or radio,2,none,existing credits paid back duly till now,male single,25,less-than 1 y.,skilled employee,yes,2,own,car or other,unknown or no savings account,1,none,no checking account,0
535,2319,21,2,none,education,1,none,critical account or other credits existing(not at this bank),male divorced or separated,33,less-than 1 y.,skilled employee,yes,1,rent,car or other,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,1
536,1374,6,4,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,75,unemployed,management or self-employed or highly qualified employee,yes,3,own,building society savings agreement or life insurance,unknown or no savings account,1,yes,less-than 0 cu,0
537,3612,18,3,none,furniture or equipment,1,none,critical account or other credits existing(not at this bank),female divorced or separated or married,37,7+ y.,skilled employee,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,0 to 200 cu,0
538,7763,48,4,none,new car,1,bank,existing credits paid back duly till now,male single,42,7+ y.,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,less-than 100 cu,1,none,less-than 0 cu,1
539,3049,18,1,none,furniture or equipment,1,stores,existing credits paid back duly till now,female divorced or separated or married,45,less-than 1 y.,unskilled resident,yes,1,own,building society savings agreement or life insurance,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
540,1534,12,1,none,television or radio,1,none,existing credits paid back duly till now,male married or widowed,23,less-than 1 y.,skilled employee,yes,1,rent,real estate,less-than 100 cu,1,none,0 to 200 cu,1
541,2032,24,4,none,new car,2,none,delay in paying off in the past,male single,60,7+ y.,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,1,yes,no checking account,0
542,6350,30,4,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,31,7+ y.,skilled employee,yes,4,own,building society savings agreement or life insurance,unknown or no savings account,1,none,less-than 0 cu,1
543,2864,18,2,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,34,1 to 4 y.,unskilled resident,yes,1,own,real estate,less-than 100 cu,2,none,greater-than 200 cu or salary assignments for at least 1 year,1
544,1255,12,4,none,new car,2,none,critical account or other credits existing(not at this bank),male single,61,7+ y.,unskilled resident,yes,4,own,real estate,less-than 100 cu,1,none,no checking account,0
545,1333,24,4,none,new car,2,none,delay in paying off in the past,male single,43,unemployed,skilled employee,yes,2,for free,real estate,less-than 100 cu,2,none,less-than 0 cu,1
546,2022,24,4,none,new car,1,none,critical account or other credits existing(not at this bank),female divorced or separated or married,37,1 to 4 y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,yes,no checking account,0
547,1552,24,3,none,television or radio,1,bank,existing credits paid back duly till now,male single,32,4 to 7 y.,skilled employee,yes,1,own,car or other,less-than 100 cu,2,none,no checking account,0
548,626,12,4,none,television or radio,1,bank,all credits at this bank paid back duly,female divorced or separated or married,24,1 to 4 y.,unskilled resident,yes,4,own,real estate,less-than 100 cu,1,none,less-than 0 cu,1
549,8858,48,2,none,used car,2,none,critical account or other credits existing(not at this bank),male single,35,4 to 7 y.,skilled employee,yes,1,for free,unknown or no property,unknown or no savings account,1,yes,no checking account,0
